"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"	"Species_Name"	"N_Reads"	"Genome_Size"
141	72	797	797	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Putative satellites (low confidence)"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Solanum_campylacanthum"	1567702	5.01
142	73	794	794	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
143	74	740	740	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Solanum_campylacanthum"	1567702	5.01
144	75	722	722	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
145	76	720	720	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
146	77	688	688	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_campylacanthum"	1567702	5.01
147	78	687	687	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Solanum_campylacanthum"	1567702	5.01
148	79	675	675	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_campylacanthum"	1567702	5.01
149	80	671	671	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
150	81	670	670	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_campylacanthum"	1567702	5.01
151	82	664	664	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
152	83	652	652	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
153	84	632	632	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_campylacanthum"	1567702	5.01
154	85	627	627	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
187	86	350	350	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_campylacanthum"	1567702	5.01
200	86	270	270	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_campylacanthum"	1567702	5.01
155	87	610	610	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
156	88	609	609	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Other"	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Solanum_campylacanthum"	1567702	5.01
157	89	587	587	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Putative satellites (low confidence)"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Solanum_campylacanthum"	1567702	5.01
158	90	582	582	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
159	91	580	580	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
160	92	576	576	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
161	93	573	573	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
162	94	572	572	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
163	95	572	572	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_campylacanthum"	1567702	5.01
164	96	566	566	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_campylacanthum"	1567702	5.01
165	97	555	555	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
166	98	547	547	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
167	99	533	533	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
168	100	518	518	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
169	101	517	517	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
170	102	511	511	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
171	103	502	502	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
172	104	497	497	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
173	105	471	471	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
175	106	462	462	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
176	107	442	442	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Solanum_campylacanthum"	1567702	5.01
178	108	416	416	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
179	109	414	414	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
180	110	410	410	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_campylacanthum"	1567702	5.01
222	111	208	208	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
230	111	194	194	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
181	112	394	394	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_campylacanthum"	1567702	5.01
182	113	386	386	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
183	114	381	381	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
184	115	368	368	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Solanum_campylacanthum"	1567702	5.01
185	116	364	364	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
186	117	359	359	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
188	118	346	346	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
189	119	346	346	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
190	120	335	335	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
191	121	324	324	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
192	122	319	319	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
193	123	317	317	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
194	124	317	317	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Solanum_campylacanthum"	1567702	5.01
195	125	311	311	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
196	126	308	308	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
197	127	305	305	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
210	128	239	239	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
198	129	293	293	"All/repeat/rDNA/5S_rDNA"	"rDNA"	"All/repeat/rDNA/5S_rDNA"	"Solanum_campylacanthum"	1567702	5.01
199	130	272	272	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
201	131	269	269	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
202	132	267	267	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
203	133	249	249	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
204	134	249	249	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
205	135	248	248	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
206	136	247	247	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
207	137	246	246	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/hAT"	"Other"	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/hAT"	"Solanum_campylacanthum"	1567702	5.01
208	138	244	244	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_campylacanthum"	1567702	5.01
209	139	240	240	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_campylacanthum"	1567702	5.01
211	140	238	238	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
212	141	237	237	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_campylacanthum"	1567702	5.01
213	142	229	229	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_campylacanthum"	1567702	5.01
214	143	227	227	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
215	144	226	226	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_campylacanthum"	1567702	5.01
216	145	224	224	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia"	"Solanum_campylacanthum"	1567702	5.01
217	146	220	220	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
218	147	216	216	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
219	148	215	215	"All/repeat/mobile_element/Class_I/LINE"	"Other"	"All/repeat/mobile_element/Class_I/LINE"	"Solanum_campylacanthum"	1567702	5.01
220	149	209	209	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
221	150	209	209	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_campylacanthum"	1567702	5.01
223	151	207	207	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
224	152	204	204	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
225	153	201	201	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_campylacanthum"	1567702	5.01
226	154	201	201	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
227	155	198	198	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
228	156	196	196	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
229	157	195	195	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
231	158	193	193	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
232	159	192	192	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
233	160	184	184	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Solanum_campylacanthum"	1567702	5.01
234	161	184	184	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_campylacanthum"	1567702	5.01
235	162	179	179	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
236	163	176	176	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
237	164	173	173	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Solanum_campylacanthum"	1567702	5.01
238	165	172	172	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
239	166	170	170	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
240	167	169	169	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
241	168	168	168	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
242	169	165	165	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_campylacanthum"	1567702	5.01
243	170	165	165	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
244	171	164	164	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
245	172	163	163	"All"	"Other"	"All"	"Solanum_campylacanthum"	1567702	5.01
